location-id,semantic-place
1010300071,SMUSISL3STUDYAREA2
1010300072,SMUSISL3STUDYAREA2
1010300074,SMUSISL3SR3-4
1010300075,SMUSISL3SR3-4
1010300076,SMUSISL3SR3-4
1010300077,SMUSISL3SR3-4
1010300078,SMUSISL3SR3-4
1010300079,SMUSISL3SR3-4
1010300081,SMUSISL3SR3-4
1010300082,SMUSISL3SR3-4
1010300083,SMUSISL3SR3-4
1010300090,SMUSISL3CLSRM
1010300093,SMUSISL3CLSRM
1010300096,SMUSISL3CLSRM
1010300099,SMUSISL3CLSRM
1010300101,SMUSISL3SR3-3
1010300102,SMUSISL3SR3-3
1010300103,SMUSISL3SR3-3
1010300104,SMUSISL3SR3-3
1010300105,SMUSISL3SR3-3
1010300106,SMUSISL3SR3-3
1010300107,SMUSISL3SR3-3
1010300108,SMUSISL3SR3-3
1010300109,SMUSISL3SR3-3
1010300110,SMUSISL3SR3-3
1010300111,SMUSISL3SR3-3
1010300112,SMUSISL3SR3-2
1010300113,SMUSISL3SR3-2
1010300114,SMUSISL3SR3-2
1010300115,SMUSISL3SR3-2
1010300116,SMUSISL3SR3-2
1010300117,SMUSISL3SR3-2
1010300118,SMUSISL3SR3-2
1010300119,SMUSISL3SR3-2
1010300120,SMUSISL3SR3-2
1010300121,SMUSISL3SR3-2
1010300122,SMUSISL3SR3-2
1010300132,SMUSISL3SR3-1
1010300135,SMUSISL3SR3-1
1010300136,SMUSISL3SR3-1
1010300138,SMUSISL3STUDYAREA1
1010300141,SMUSISL3STUDYAREA1
1010300145,SMUSISL3STUDYAREA1
1010300147,SMUSISL3STUDYAREA1
1010300148,SMUSISL3STUDYAREA1
1010400001,SMUSISL4LOBBY
1010400002,SMUSISL4LOBBY
1010400003,SMUSISL4LOBBY
1010400004,SMUSISL4LOBBY
1010400005,SMUSISL4LOBBY
1010400006,SMUSISL4LOBBY
1010400007,SMUSISL4LOBBY
1010400008,SMUSISL4LOBBY
1010400012,SMUSISL4LOBBY
1010400013,SMUSISL4LOBBY
1010400015,SMUSISL4LOBBY
1010400016,SMUSISL4LOBBY
1010400017,SMUSISL4LOBBY
1010400018,SMUSISL4LOBBY
1010400019,SMUSISL4LOBBY
1010400020,SMUSISL4LOBBY
1010400021,SMUSISL4STUDYAREA1
1010400022,SMUSISL4STUDYAREA1
1010400023,SMUSISL4STUDYAREA1
1010400024,SMUSISL4STUDYAREA1
1010400025,SMUSISL4STUDYAREA1
1010400026,SMUSISL4STUDYAREA2
1010400027,SMUSISL4STUDYAREA2
1010400028,SMUSISL4STUDYAREA2
1010400029,SMUSISL4STUDYAREA2
1010400030,SMUSISL4STUDYAREA2
1010400031,SMUSISL4STUDYAREA2
1010400032,SMUSISL4STUDYAREA2
1010400033,SMUSISL4STUDYAREA2
1010400034,SMUSISL4STUDYAREA2
1010400035,SMUSISL4STUDYAREA2
1010400036,SMUSISL4ACADOFFICE
1010400037,SMUSISL4ACADOFFICE
1010400038,SMUSISL4ACADOFFICE
1010400039,SMUSISL4ACADOFFICE
1010400040,SMUSISL4ACADOFFICE
1010400041,SMUSISL4ACADOFFICE
1010400042,SMUSISL4ACADOFFICE
1010400043,SMUSISL4ACADOFFICE
1010400044,SMUSISL4ACADOFFICE
1010400045,SMUSISL4ACADOFFICE
1010400046,SMUSISL4ACADOFFICE
1010400047,SMUSISL4STUDYAREA3
1010400048,SMUSISL4STUDYAREA3
1010400049,SMUSISL4STUDYAREA3
1010400050,SMUSISL4STUDYAREA3
1010400051,SMUSISL4ACADOFFICE
1010400052,SMUSISL4ACADOFFICE
1010400053,SMUSISL4ACADOFFICE
1010400054,SMUSISL4ACADOFFICE
1010400055,SMUSISL4ACADOFFICE
1010400056,SMUSISL4ACADOFFICE
1010400057,SMUSISL4ACADOFFICE
1010400058,SMUSISL4ACADOFFICE
1010400059,SMUSISL4ACADOFFICE
1010400060,SMUSISL4ACADOFFICE
1010400061,SMUSISL4ACADOFFICE
1010400062,SMUSISL4ACADOFFICE
1010400063,SMUSISL4ACADOFFICE
1010400064,SMUSISL4ACADOFFICE
1010400065,SMUSISL4ACADOFFICE
1010400066,SMUSISL4ACADOFFICE
1010400067,SMUSISL4ACADOFFICE
1010400068,SMUSISL4ACADOFFICE
1010400069,SMUSISL4STUDYAREA4
1010400070,SMUSISL4STUDYAREA4
1010400071,SMUSISL4STUDYAREA4
1010400072,SMUSISL4STUDYAREA4
1010400073,SMUSISL4STUDYAREA4
1010400074,SMUSISL4STUDYAREA4
1010400075,SMUSISL4STUDYAREA4
1010400076,SMUSISL4STUDYAREA4
1010500001,SMUSISL5LOBBY
1010500002,SMUSISL5LOBBY
1010500003,SMUSISL5LOBBY
1010500004,SMUSISL5LOBBY
1010500005,SMUSISL5LOBBY
1010500006,SMUSISL5LOBBY
1010500007,SMUSISL5STUDYAREA1
1010500008,SMUSISL5STUDYAREA1
1010500009,SMUSISL5STUDYAREA1
1010500010,SMUSISL5STUDYAREA1
1010500011,SMUSISL5STUDYAREA1
1010500012,SMUSISL5STUDYAREA1
1010500013,SMUSISL5STUDYAREA1
1010500014,SMUSISL5STUDYAREA1
1010500015,SMUSISL5STUDYAREA1
1010500016,SMUSISL5STUDYAREA1
1010500017,SMUSISL5STUDYAREA1
1010500018,SMUSISL5STUDYAREA1
1010500019,SMUSISL5STUDYAREA1
1010500020,SMUSISL5STUDYAREA1
1010500021,SMUSISL5ACADOFFICE
1010500022,SMUSISL5ACADOFFICE
1010500023,SMUSISL5ACADOFFICE
1010500024,SMUSISL5ACADOFFICE
1010500025,SMUSISL5ACADOFFICE
1010500026,SMUSISL5ACADOFFICE
1010500027,SMUSISL5ACADOFFICE
1010500028,SMUSISL5ACADOFFICE
1010500029,SMUSISL5ACADOFFICE
1010500030,SMUSISL5ACADOFFICE
1010500031,SMUSISL5ACADOFFICE
1010500032,SMUSISL5ACADOFFICE
1010500033,SMUSISL5ACADOFFICE
1010500034,SMUSISL5ACADOFFICE
1010500035,SMUSISL5ACADOFFICE
1010500036,SMUSISL5ACADOFFICE
1010500037,SMUSISL5ACADOFFICE
1010500038,SMUSISL5ACADOFFICE
1010500039,SMUSISL5ACADOFFICE
1010500040,SMUSISL5ACADOFFICE
1010500041,SMUSISL5ACADOFFICE
1010500042,SMUSISL5ACADOFFICE
1010500043,SMUSISL5ACADOFFICE
1010500044,SMUSISL5STUDYAREA2
1010500045,SMUSISL5STUDYAREA2
1010500046,SMUSISL5STUDYAREA2
1010500047,SMUSISL5STUDYAREA2
1010500048,SMUSISL5STUDYAREA2
1010500049,SMUSISL5STUDYAREA2
1010500050,SMUSISL5STUDYAREA2
1010500051,SMUSISL5STUDYAREA2
1010500052,SMUSISL5STUDYAREA2
1010500053,SMUSISL5STUDYAREA2
1010500054,SMUSISL5STUDYAREA2
1010500055,SMUSISL5STUDYAREA2
1010500056,SMUSISL5STUDYAREA2
1010500057,SMUSISL5STUDYAREA2
1010500058,SMUSISL5STUDYAREA2
1010500059,SMUSISL5STUDYAREA2
1010500060,SMUSISL5STUDYAREA2
1010500061,SMUSISL5STUDYAREA2
