location-id,semantic-place
1010300048,SMUSISL3StudyArea2
1010300049,SMUSISL3StudyArea2
1010300051,SMUSISL3StudyArea2
1010300052,SMUSISL3StudyArea2
1010300054,SMUSISL3StudyArea2
1010300056,SMUSISL3StudyArea2
1010300058,SMUSISL3StudyArea3
1010300060,SMUSISL3StudyArea3
1010300061,SMUSISL3StudyArea3
1010300063,SMUSISL3StudyArea3
1010300064,SMUSISL3StudyArea3
1010300066,SMUSISL3StudyArea3
1010300067,SMUSISL3StudyArea3
1010300069,SMUSISL3StudyArea3
1010300071,SMUSISL3StudyArea3
1010300072,SMUSISL3StudyArea3
1010300075,SMUSISL3SR3.4
1010300076,SMUSISL3SR3.4
1010300079,SMUSISL3SR3.4
1010300083,SMUSISL3SR3.4
1010300090,SMUSISL3CLSRM
1010300093,SMUSISL3CLSRM
1010300096,SMUSISL3CLSRM
1010300099,SMUSISL3CLSRM
1010300105,SMUSISL3SR3.3
1010300109,SMUSISL3SR3.3
1010300111,SMUSISL3SR3.3
1010300116,SMUSISL3SR3.2
1010300120,SMUSISL3SR3.2
1010300122,SMUSISL3SR3.2
1010300132,SMUSISL3SR3.1
1010300135,SMUSISL3SR3.1
1010300136,SMUSISL3SR3.1
1010300138,SMUSISL3StudyArea1
1010300141,SMUSISL3StudyArea1
1010300147,SMUSISL3StudyArea1
1010300148,SMUSISL3StudyArea1
1010300149,SMUSISL3StudyArea1
1010300150,SMUSISL3StudyArea1
1010400001,SMUSISL4LiftLobby
1010400003,SMUSISL4LiftLobby
1010400005,SMUSISL4LiftLobby
1010400013,SMUSISL4MRCorridor
1010400015,SMUSISL4MRCorridor
1010400017,SMUSISL4MRCorridor
1010400019,SMUSISL4MRCorridor
1010400021,SMUSISL4MRCorridor
1010400022,SMUSISL4MRCorridor
1010400024,SMUSISL4MRCorridor
1010400027,SMUSISL4OusideAcadOffice1
1010400029,SMUSISL4OusideAcadOffice1
1010400030,SMUSISL4OusideAcadOffice1
1010400032,SMUSISL4OusideAcadOffice1
1010400035,SMUSISL4OusideAcadOffice1
1010400038,SMUSISL4OusideAcadOffice1
1010400040,SMUSISL4OusideAcadOffice1
1010400042,SMUSISL4OusideAcadOffice1
1010400044,SMUSISL4OusideAcadOffice1
1010400046,SMUSISL4OusideAcadOffice1
1010400048,SMUSISL4OusideAcadOffice1
1010400050,SMUSISL4OusideAcadOffice1
1010400052,SMUSISL4OusideAcadOffice1
1010400054,SMUSISL4OusideAcadOffice2
1010400056,SMUSISL4OusideAcadOffice2
1010400058,SMUSISL4OusideAcadOffice2
1010400060,SMUSISL4OusideAcadOffice2
1010400062,SMUSISL4OusideAcadOffice2
1010400064,SMUSISL4OusideAcadOffice2
1010400067,SMUSISL4OusideAcadOffice2
1010400068,SMUSISL4OusideAcadOffice2
1010400070,SMUSISL4OusideAcadOffice2
1010400072,SMUSISL4OusideAcadOffice2
1010400075,SMUSISL4OusideAcadOffice2
1010500002,SMUSISL5LiftLobby
1010500004,SMUSISL5LiftLobby
1010500006,SMUSISL5LiftLobby
1010500008,SMUSISL5StudyArea1
1010500011,SMUSISL5StudyArea1
1010500013,SMUSISL5StudyArea1
1010500014,SMUSISL5StudyArea1
1010500016,SMUSISL5StudyArea1
1010500017,SMUSISL5StudyArea1
1010500019,SMUSISL5StudyArea1
1010500021,SMUSISL5OutsideDeansOffice
1010500023,SMUSISL5OutsideDeansOffice
1010500025,SMUSISL5OutsideDeansOffice
1010500028,SMUSISL5OutsideDeansOffice
1010500031,SMUSISL5OutsideDeansOffice
1010500033,SMUSISL5OutsideDeansOffice
1010500036,SMUSISL5OutsideDeansOffice
1010500037,SMUSISL5AcadOffice
1010500039,SMUSISL5AcadOffice
1010500041,SMUSISL5AcadOffice
1010500042,SMUSISL5AcadOffice
1010500044,SMUSISL5AcadOffice
1010500046,SMUSISL5AcadOffice
1010500049,SMUSISL5AcadOffice
1010500051,SMUSISL5AcadOffice
1010500053,SMUSISL5AcadOffice
1010500055,SMUSISL5AcadOffice
1010500057,SMUSISL5AcadOffice
1010500058,SMUSISL5AcadOffice
1010500059,SMUSISL5AcadOffice
1010500061,SMUSISL5AcadOffice
1010200016,SMUSISL2LiftLobby
1010200014,SMUSISL2LiftLobby
1010200045,SMUSISL2StudyArea2
1010200010,SMUSISL2LiftLobby
1010200084,SMUSISL2StudyArea2
1010200088,SMUSISL2StudyArea2
1010200092,SMUSISL2SR2.3
1010200095,SMUSISL2SR2.3
1010200099,SMUSISL2SR2.3
1010200105,SMUSISL2SR2.2
1010200109,SMUSISL2SR2.2
1010200110,SMUSISL2SR2.2
